iso3c,year,export_price_shock,n_commodities,total_export_share
TGO,2009,-11.89223255608121,9,100.19227215086474
TGO,2010,23.201682503103548,9,101.64718144686123
TGO,2011,22.256246611571793,10,100.24864016590449
TGO,2012,-1.6077336636139146,10,106.37119074200817
TGO,2013,-5.005909094059251,10,100.12289920870589
TGO,2014,1.7333501829541476,10,100.7926770491923
TGO,2015,-19.409930341203253,10,100.33349227786738
TGO,2016,-4.933576157418796,9,100.05816094916179
TGO,2017,13.028893409729475,9,100.4331589955897
TGO,2018,22.677300692466908,9,100.02548048530664
TGO,2019,-7.357832986515875,10,100.12173525417143
TGO,2020,-19.73040328381718,8,100.51873598462183
TGO,2021,51.657006587099275,10,100.45976415782171
TGO,2022,35.8622466487516,10,100.12705656173075
THA,2001,-6.085871572384736,10,124.74870797745314
THA,2002,12.713973322154782,10,123.8219723941383
THA,2003,9.695853416161398,10,122.8134892241664
THA,2004,20.717170438247475,10,126.24781993493337
THA,2005,23.118416726861607,10,118.72079358112192
THA,2006,30.73391840977701,10,116.95784052974234
THA,2007,15.595753106483073,10,118.52455711222828
THA,2008,49.170542072299625,10,121.65437617184276
THA,2009,-16.684546870674936,10,120.3246777346619
THA,2010,21.853581648742026,10,117.74107708922472
THA,2011,30.254611718450747,10,117.70227454883337
THA,2012,0.42155147020748884,10,112.12837152375992
THA,2013,-9.588979425771981,10,113.51553998113666
THA,2014,-9.093910627731612,10,117.37965235721236
THA,2015,-22.156906771453336,10,116.22642861104869
THA,2016,-2.1606653067085753,10,115.3201179825152
THA,2017,9.210852772170151,10,116.70189672526797
THA,2018,13.253053158308333,10,116.5091005662152
THA,2019,-0.2619378042334749,10,112.06316405929303
THA,2020,12.886830333837267,10,111.11514786959737
THA,2021,35.108065360119205,10,111.36141675006937
THA,2022,16.11793925436306,10,109.8854421376627
TLS,2004,22.893011362728117,10,100.03557132080917
TLS,2005,41.56587338891049,6,100
TON,2001,-28.249655792347294,4,100
TON,2002,-1.319861558882449,1,100
TON,2003,4.41644366258569,2,99.99999999999999
TON,2004,25.41052756397228,1,100
TON,2005,42.71191408670655,2,100
TON,2006,-0.3875021563260043,1,100
TON,2007,8.04423033817492,2,100
TON,2008,12.34384826770557,4,100
TON,2009,2.0690893920306928,4,99.99999999999999
TON,2010,35.74582444945833,4,99.99999999999999
TON,2011,38.285261230871114,5,100.01114639032112
TON,2012,-27.199064630414476,6,100
TON,2013,-21.66642342818,9,100.0097128156665
TON,2014,1.3358675329437468,6,100
TTO,2001,-11.574249644872804,10,100.07067536067082
TTO,2002,0.9147604535934762,10,100.09076959320042
TTO,2003,9.510037224366634,10,100.07054331569
TTO,2004,25.453569476177005,10,100.05132520575384
TTO,2005,41.8603383248954,10,100.07935640920374
TTO,2006,20.488782198654675,10,100.02997537183929
TTO,2007,7.47883486540673,10,100.01881770834092
TTO,2008,34.029994471116645,10,100.0939289846199
TTO,2009,-32.95441148862528,10,100.04719807226206
